country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,note
Austria,AUT,Europe,8978929,cases,115,2020-10,1.414422588707406,127,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,874,2020-11,11.01467669,1001,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,3046,2020-12,43.65776809238607,4047,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,5098,2020-13,90.70124064907964,9145,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,3114,2020-14,91.45856927925368,12259,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,1838,2020-15,55.15134377385098,14097,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,686,2020-16,28.110256802342462,14783,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,450,2020-17,12.651842998201678,15233,TESSy COVID-19,
Austria,AUT,Europe,8978929,cases,309,2020-18,8.453123975030875,15542,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,0,2020-10,0,0,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,2,2020-11,0.2227437147570718,2,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,30,2020-12,3.563899436113149,32,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,101,2020-13,14.589713316588202,133,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,126,2020-14,25.28141162492765,259,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,150,2020-15,30.73863263647591,409,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,120,2020-16,30.070401492204695,529,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,78,2020-17,22.051627760950108,607,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,51,2020-18,14.366969601831132,658,TESSy COVID-19,
Austria,AUT,Europe,8978929,deaths,32,2020-19,9.243864162,690,TESSy COVID-19,
